City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,moyale,3.5167,39.0584,19.4,26,1,3.81,KE,1675645792
95,riyadh,24.6877,46.7219,16.08,55,5,4.84,SA,1675645357
96,kenora,49.8167,-94.4337,-12.9,71,52,2.68,CA,1675645792
97,peniche,39.3558,-9.3811,9.2,63,1,3.0,PT,1675645794
98,broken hill,-31.95,141.4333,26.9,26,0,5.6,AU,1675645354
99,bathsheba,13.2167,-59.5167,25.07,76,91,9.79,BB,1675645794
100,leshukonskoye,64.8989,45.7622,-21.46,100,65,2.32,RU,1675645795
101,yenagoa,4.9247,6.2642,25.73,88,100,2.67,NG,1675645795
102,ha tinh,18.3333,105.9,21.72,94,98,1.31,VN,1675645796
103,henties bay,-22.116,14.2845,17.62,89,100,2.11,NA,1675645796
104,rorvik,64.8621,11.2373,3.06,93,100,2.57,NO,1675645796
105,kaitangata,-46.2817,169.8464,18.7,61,52,7.2,NZ,1675645797
106,narsaq,60.9167,-46.05,-9.88,71,98,6.03,GL,1675645797
107,perth,-31.9333,115.8333,23.34,77,100,4.12,AU,1675645588
108,lexington,37.9887,-84.4777,9.63,59,0,3.6,US,1675645367
109,springdale,36.1867,-94.1288,10.95,53,0,0.0,US,1675645226
110,east london,-33.0153,27.9116,23.36,85,82,5.82,ZA,1675645799
111,aichach,48.4576,11.1341,0.78,93,100,1.54,DE,1675645799
112,te anau,-45.4167,167.7167,16.11,77,99,2.98,NZ,1675645799
113,jamestown,42.097,-79.2353,4.84,70,100,5.14,US,1675645688
114,faanui,-16.4833,-151.75,27.73,73,8,6.61,PF,1675645801
115,praia da vitoria,38.7333,-27.0667,15.42,93,100,7.34,PT,1675645801
116,pevek,69.7008,170.3133,-35.13,96,100,1.56,RU,1675645802
117,nago,26.5881,127.9761,18.47,84,100,7.33,JP,1675645036
118,amga,60.8953,131.9608,-38.73,100,100,0.61,RU,1675645802
119,huatulco,15.8436,-96.3267,25.37,69,0,0.0,MX,1675645803
120,port alfred,-33.5906,26.891,22.88,94,78,4.71,ZA,1675645803
121,kohat,33.582,71.4493,11.04,69,78,2.63,PK,1675645804
122,san jeronimo,-11.9472,-75.2829,9.98,83,90,2.5,PE,1675645804
123,lebu,-37.6167,-73.65,16.11,90,1,8.1,CL,1675645804
124,anadyr,64.75,177.4833,-30.29,74,75,6.0,RU,1675645805
125,bluff,-46.6,168.3333,15.18,80,99,10.84,NZ,1675645726
126,bykovo,55.6361,38.0803,-2.8,86,100,4.0,RU,1675645805
127,baturaja,-4.1333,104.1667,24.73,72,95,0.69,ID,1675645806
128,busselton,-33.65,115.3333,23.44,59,0,5.15,AU,1675645782
129,kokemaki,61.2565,22.3564,-0.12,91,8,3.24,FI,1675645806
130,hamilton,39.1834,-84.5333,8.88,69,40,3.09,US,1675645453
131,ewa beach,21.3156,-158.0072,27.97,64,20,6.69,US,1675645807
132,puerto ayora,-0.7393,-90.3518,26.42,93,37,2.68,EC,1675645802
133,cape town,-33.9258,18.4232,22.23,76,0,5.81,ZA,1675645313
